year,degree,work,age,job_satisfied,happy,sex,age_range
1972,bachelor's,NA,23,a little dissatisfied,not too happy,female,age 20-39
1972,less than high school,yes,70,NA,not too happy,male,age 60-79
1972,high school,NA,48,moderately satisfied,pretty happy,female,age 40-59
1972,bachelor's,NA,27,very satisfied,not too happy,female,age 20-39
1972,high school,yes,61,NA,pretty happy,female,age 60-79
1972,high school,NA,26,moderately satisfied,pretty happy,male,age 20-39
1972,high school,NA,28,very satisfied,not too happy,male,age 20-39
1972,bachelor's,NA,27,a little dissatisfied,not too happy,male,age 20-39
1972,high school,NA,21,moderately satisfied,pretty happy,female,age 20-39
1972,high school,NA,30,moderately satisfied,pretty happy,female,age 20-39
1972,high school,yes,30,NA,pretty happy,female,age 20-39
1972,less than high school,NA,56,very satisfied,pretty happy,male,age 40-59
1972,less than high school,NA,54,very satisfied,pretty happy,male,age 40-59
1972,less than high school,NA,49,moderately satisfied,not too happy,female,age 40-59
1972,less than high school,NA,41,very satisfied,very happy,male,age 40-59
1972,high school,NA,54,moderately satisfied,not too happy,male,age 40-59
1972,high school,yes,24,NA,very happy,male,age 20-39
1972,less than high school,yes,62,NA,very happy,female,age 60-79
1972,bachelor's,NA,46,very satisfied,very happy,female,age 40-59
1972,high school,no,21,NA,very happy,female,age 20-39
1972,high school,NA,57,very satisfied,very happy,male,age 40-59
1972,high school,NA,58,very satisfied,very happy,male,age 40-59
1972,high school,NA,21,moderately satisfied,very happy,male,age 20-39
1972,high school,yes,26,NA,very happy,female,age 20-39
1972,bachelor's,yes,71,NA,pretty happy,female,age 60-79
1972,high school,NA,53,moderately satisfied,very happy,female,age 40-59
1972,high school,NA,42,moderately satisfied,pretty happy,male,age 40-59
1972,high school,NA,42,a little dissatisfied,pretty happy,female,age 40-59
1972,high school,NA,20,moderately satisfied,pretty happy,male,age 20-39
1972,less than high school,NA,23,very satisfied,pretty happy,male,age 20-39
1972,less than high school,NA,26,moderately satisfied,pretty happy,male,age 20-39
1972,high school,NA,25,very satisfied,very happy,female,age 20-39
1972,bachelor's,NA,26,NA,pretty happy,male,age 20-39
1972,less than high school,yes,78,NA,very happy,female,age 60-79
1972,high school,NA,21,moderately satisfied,very happy,male,age 20-39
1972,high school,NA,27,moderately satisfied,not too happy,male,age 20-39
1972,high school,yes,58,NA,very happy,female,age 40-59
1972,less than high school,no,35,NA,pretty happy,female,age 20-39
1972,less than high school,NA,58,moderately satisfied,not too happy,male,age 40-59
1972,high school,NA,51,moderately satisfied,pretty happy,female,age 40-59
1972,less than high school,no,76,NA,very happy,female,age 60-79
1972,high school,NA,53,very satisfied,not too happy,male,age 40-59
1972,less than high school,NA,39,moderately satisfied,pretty happy,male,age 20-39
1972,less than high school,yes,64,NA,very happy,female,age 60-79
1972,less than high school,yes,50,NA,pretty happy,female,age 40-59
1972,high school,yes,27,NA,very happy,female,age 20-39
1972,high school,NA,25,very satisfied,pretty happy,male,age 20-39
1972,high school,NA,49,very satisfied,pretty happy,male,age 40-59
1972,less than high school,NA,40,moderately satisfied,very happy,male,age 40-59
1972,less than high school,NA,43,moderately satisfied,pretty happy,male,age 40-59
1972,less than high school,NA,46,very satisfied,pretty happy,male,age 40-59
1972,high school,NA,37,moderately satisfied,very happy,male,age 20-39
1972,less than high school,NA,46,very satisfied,very happy,male,age 40-59
1972,high school,yes,22,NA,very happy,female,age 20-39
1972,less than high school,yes,53,NA,very happy,female,age 40-59
1972,high school,NA,35,moderately satisfied,pretty happy,male,age 20-39
1972,high school,yes,31,NA,pretty happy,female,age 20-39
1972,high school,yes,30,NA,pretty happy,female,age 20-39
1972,high school,yes,37,very satisfied,very happy,female,age 20-39
1972,less than high school,NA,57,very satisfied,very happy,female,age 40-59
1972,high school,NA,39,moderately satisfied,very happy,male,age 20-39
1972,less than high school,yes,62,NA,pretty happy,female,age 60-79
1972,high school,NA,51,moderately satisfied,pretty happy,male,age 40-59
1972,less than high school,NA,43,very satisfied,pretty happy,male,age 40-59
1972,high school,NA,39,very satisfied,very happy,male,age 20-39
1972,less than high school,yes,52,NA,pretty happy,female,age 40-59
1972,high school,NA,30,moderately satisfied,pretty happy,male,age 20-39
1972,high school,NA,47,moderately satisfied,very happy,female,age 40-59
1972,high school,NA,31,moderately satisfied,pretty happy,female,age 20-39
1972,bachelor's,NA,25,NA,pretty happy,male,age 20-39
1972,less than high school,NA,45,very satisfied,pretty happy,male,age 40-59
1972,high school,yes,30,NA,pretty happy,female,age 20-39
1972,less than high school,yes,68,NA,pretty happy,male,age 60-79
1972,less than high school,yes,63,NA,not too happy,female,age 60-79
1972,high school,NA,19,very dissatisfied,pretty happy,male,age 1-19
1972,bachelor's,NA,23,moderately satisfied,pretty happy,male,age 20-39
1972,less than high school,no,46,moderately satisfied,pretty happy,female,age 40-59
1972,less than high school,yes,55,NA,not too happy,female,age 40-59
1972,high school,NA,22,very satisfied,very happy,male,age 20-39
1972,high school,NA,55,very satisfied,pretty happy,female,age 40-59
1972,less than high school,NA,44,very satisfied,pretty happy,male,age 40-59
1972,high school,NA,41,moderately satisfied,pretty happy,female,age 40-59
1972,high school,NA,49,very satisfied,very happy,male,age 40-59
1972,high school,yes,28,NA,very happy,female,age 20-39
1972,high school,no,21,NA,pretty happy,male,age 20-39
1972,bachelor's,NA,26,a little dissatisfied,very happy,male,age 20-39
1972,graduate,NA,31,very dissatisfied,pretty happy,female,age 20-39
1972,graduate,NA,28,moderately satisfied,pretty happy,female,age 20-39
1972,bachelor's,NA,26,very satisfied,very happy,male,age 20-39
1972,high school,NA,20,very dissatisfied,pretty happy,female,age 20-39
1972,bachelor's,NA,25,NA,very happy,male,age 20-39
1972,high school,NA,57,very satisfied,pretty happy,female,age 40-59
1972,high school,yes,58,NA,pretty happy,female,age 40-59
1972,high school,NA,54,moderately satisfied,very happy,male,age 40-59
1972,bachelor's,yes,35,NA,very happy,female,age 20-39
1972,high school,NA,40,very satisfied,very happy,male,age 40-59
1972,high school,NA,57,very satisfied,very happy,male,age 40-59
1972,high school,no,64,NA,very happy,female,age 60-79
1972,high school,NA,34,very satisfied,very happy,male,age 20-39
1972,high school,no,25,NA,pretty happy,female,age 20-39
1972,less than high school,NA,28,moderately satisfied,very happy,male,age 20-39
1972,high school,NA,41,moderately satisfied,pretty happy,male,age 40-59
1972,high school,yes,36,NA,very happy,female,age 20-39
1972,high school,NA,31,very satisfied,very happy,male,age 20-39
1972,high school,NA,45,moderately satisfied,pretty happy,male,age 40-59
1972,less than high school,no,74,NA,pretty happy,female,age 60-79
1972,high school,NA,64,NA,pretty happy,female,age 60-79
1972,high school,NA,23,very satisfied,pretty happy,female,age 20-39
1972,bachelor's,NA,27,NA,very happy,female,age 20-39
1972,high school,yes,42,NA,not too happy,male,age 40-59
1972,less than high school,NA,47,moderately satisfied,not too happy,male,age 40-59
1972,high school,NA,26,NA,pretty happy,male,age 20-39
1972,less than high school,no,34,NA,pretty happy,female,age 20-39
1972,less than high school,NA,52,moderately satisfied,pretty happy,male,age 40-59
1972,high school,NA,24,NA,pretty happy,male,age 20-39
1972,high school,yes,36,NA,pretty happy,female,age 20-39
1972,less than high school,NA,25,NA,pretty happy,male,age 20-39
1972,less than high school,yes,46,NA,not too happy,female,age 40-59
1972,less than high school,no,54,NA,pretty happy,female,age 40-59
1972,high school,no,27,NA,pretty happy,female,age 20-39
1972,less than high school,no,20,NA,pretty happy,female,age 20-39
1972,less than high school,NA,53,very satisfied,very happy,male,age 40-59
1972,less than high school,NA,47,NA,not too happy,male,age 40-59
1972,less than high school,yes,70,NA,very happy,male,age 60-79
1972,less than high school,yes,69,NA,very happy,female,age 60-79
1972,less than high school,NA,49,very satisfied,pretty happy,female,age 40-59
1972,bachelor's,NA,29,very satisfied,pretty happy,female,age 20-39
1972,high school,no,48,NA,not too happy,female,age 40-59
1972,less than high school,yes,67,NA,pretty happy,female,age 60-79
1972,high school,yes,22,NA,not too happy,male,age 20-39
1972,less than high school,yes,75,NA,not too happy,male,age 60-79
1972,high school,NA,38,a little dissatisfied,pretty happy,male,age 20-39
1972,high school,NA,46,very satisfied,pretty happy,male,age 40-59
1972,less than high school,no,63,NA,very happy,female,age 60-79
1972,less than high school,yes,34,NA,pretty happy,female,age 20-39
1972,less than high school,NA,57,very satisfied,pretty happy,male,age 40-59
1972,high school,NA,22,a little dissatisfied,pretty happy,female,age 20-39
1972,less than high school,NA,46,very satisfied,very happy,male,age 40-59
1972,less than high school,yes,73,NA,pretty happy,female,age 60-79
1972,high school,yes,73,NA,pretty happy,male,age 60-79
1972,high school,NA,53,moderately satisfied,pretty happy,male,age 40-59
1972,high school,yes,84,NA,pretty happy,female,age 80-100
1972,high school,NA,27,very dissatisfied,not too happy,male,age 20-39
1972,less than high school,yes,69,NA,pretty happy,female,age 60-79
1972,less than high school,no,82,NA,pretty happy,female,age 80-100
1972,bachelor's,yes,67,NA,pretty happy,female,age 60-79
1972,high school,NA,41,very dissatisfied,pretty happy,male,age 40-59
1972,less than high school,NA,72,NA,pretty happy,male,age 60-79
1972,less than high school,NA,38,very satisfied,pretty happy,male,age 20-39
1972,high school,NA,59,very satisfied,very happy,female,age 40-59
1972,high school,NA,42,very satisfied,very happy,male,age 40-59
